fname,lname,email,phone,party,district,state,assembly
Yusuf,Hakeem,rep.yusuf.hakeem@capitol.tn.gov,(615) 741-2702,D,District 28,TN,House
Curtis,Halford,rep.curtis.halford@capitol.tn.gov,(615) 741-7478,R,District 79,TN,House
Mark,Hall,rep.mark.hall@capitol.tn.gov,(615) 741-1350,R,District 24,TN,House
G. A.,Hardaway,rep.ga.hardaway@capitol.tn.gov,(615) 741-5625,D,District 93,TN,House
Torrey C.,Harris,rep.torrey.harris@capitol.tn.gov,(615) 741-2239,D,District 90,TN,House
Kirk,Haston,rep.kirk.haston@capitol.tn.gov,(615) 741-0750,R,District 72,TN,House
David,Hawk,rep.david.hawk@capitol.tn.gov,(615) 741-7482,R,District 5,TN,House
Patsy,Hazlewood,rep.patsy.hazlewood@capitol.tn.gov,(615) 741-2746,R,District 27,TN,House
Esther,Helton,rep.esther.helton@capitol.tn.gov,(615) 741-1934,R,District 30,TN,House
Gary,Hicks,rep.gary.hicks@capitol.tn.gov,(615) 741-7480,R,District 9,TN,House
Tim,Hicks,rep.tim.hicks@capitol.tn.gov,(615) 741-1717,R,District 6,TN,House
Jason,Hodges,rep.jason.hodges@capitol.tn.gov,(615) 741-2043,D,District 67,TN,House
Jr.,Holsclaw,rep.john.holsclaw@capitol.tn.gov,(615) 741-7450,R,District 4,TN,House
Dan,Howell,rep.dan.howell@capitol.tn.gov,(615) 741-7799,R,District 22,TN,House
Bud,Hulsey,rep.bud.hulsey@capitol.tn.gov,(615) 741-2886,R,District 2,TN,House
Chris,Hurt,rep.chris.hurt@capitol.tn.gov,(615) 741-2134,R,District 82,TN,House
Darren,Jernigan,rep.darren.jernigan@capitol.tn.gov,(615) 741-6959,D,District 60,TN,House
Curtis G.,Johnson,rep.curtis.johnson@capitol.tn.gov,(615) 741-4341,R,District 68,TN,House
Gloria,Johnson,rep.gloria.johnson@capitol.tn.gov,(615) 741-2031,D,District 13,TN,House
Kelly,Keisling,rep.kelly.keisling@capitol.tn.gov,(615) 741-6852,R,District 38,TN,House
Sabi 'Doc',Kumar,rep.sabi.kumar@capitol.tn.gov,(615) 741-2860,R,District 66,TN,House
Justin,Lafferty,rep.justin.lafferty@capitol.tn.gov,(615) 741-4110,R,District 89,TN,House
,,,,,,,
William,Lamberth,rep.william.lamberth@capitol.tn.gov,(615) 741-1980,R,District 44,TN,House
Tom,Leatherwood,rep.tom.leatherwood@capitol.tn.gov,(615) 741-7084,R,District 99,TN,House
Mary,Littleton,rep.mary.littleton@capitol.tn.gov,(615) 741-7477,R,District 78,TN,House
Harold M.,Love,rep.harold.love@capitol.tn.gov,(615) 741-3831,D,District 58,TN,House
Susan,Lynn,rep.susan.lynn@capitol.tn.gov,(615) 741-7462,R,District 57,TN,House
Eddie,Mannis,rep.eddie.mannis@capitol.tn.gov,(615) 741-2287,R,District 18,TN,House
Pat,Marsh,rep.pat.marsh@capitol.tn.gov,(615) 741-6824,R,District 62,TN,House
Greg,Martin,rep.greg.martin@capitol.tn.gov,(615) 741-2548,R,District 26,TN,House
Sam,McKenzie,rep.sam.mckenzie@capitol.tn.gov,(615) 741-0768,D,District 15,TN,House
Larry J.,Miller,rep.larry.miller@capitol.tn.gov,(615) 741-4453,D,District 88,TN,House
Bo,Mitchell,rep.bo.mitchell@capitol.tn.gov,(615) 741-4317,D,District 50,TN,House
Debra,Moody,rep.debra.moody@capitol.tn.gov,(615) 741-3774,R,District 81,TN,House
Jerome,Moon,Rep.Jerome.Moon@capitol.tn.gov,(615) 741-5481,R,District 8,TN,House
Brandon,Ogles,rep.brandon.ogles@capitol.tn.gov,(615) 741-6808,R,District 61,TN,House
Antonio,Parkinson,rep.antonio.parkinson@capitol.tn.gov,(615) 741-4575,D,District 98,TN,House
Jason,Potts,rep.jason.potts@capitol.tn.gov,(615) 741-2035,D,District 59,TN,House
Jason,Powell,rep.jason.powell@capitol.tn.gov,(615) 741-6861,D,District 53,TN,House
Dennis,Powers,rep.dennis.powers@capitol.tn.gov,(615) 741-3335,R,District 36,TN,House
Brian,Ragan,rep.brian.ragan@capitol.tn.gov,(615) 741-3513,R,District 69,TN,House
John,Ragan,rep.john.ragan@capitol.tn.gov,(615) 741-4400,R,District 33,TN,House
Bob,Ramsey,rep.bob.ramsey@capitol.tn.gov,(615) 741-3560,R,District 20,TN,House
Jay D.,Reedy,rep.jay.reedy@capitol.tn.gov,(615) 741-7098,R,District 74,TN,House
Tim,Rudd,rep.tim.rudd@capitol.tn.gov,(615) 741-2804,R,District 34,TN,House
Iris,Rudder,rep.iris.rudder@capitol.tn.gov,(615) 741-8695,R,District 39,TN,House
Lowell,Russell,rep.lowell.russell@capitol.tn.gov,(615) 741-3736,R,District 21,TN,House
Cameron Speaker,Sexton,speaker.cameron.sexton@capitol.tn.gov,(615) 741-2343,R,District 25,TN,House
Jerry,Sexton,rep.jerry.sexton@capitol.tn.gov,(615) 741-2534,R,District 35,TN,House
Johnny,Shaw,rep.johnny.shaw@capitol.tn.gov,(615) 741-4538,D,District 80,TN,House
Paul,Sherrell,rep.paul.sherrell@capitol.tn.gov,(615) 741-1963,R,District 43,TN,House
Mike,Sparks,rep.mike.sparks@capitol.tn.gov,(615) 741-6829,R,District 49,TN,House
Mike,Stewart,rep.mike.stewart@capitol.tn.gov,(615) 741-2184,D,District 52,TN,House
Bryan,Terry,rep.bryan.terry@capitol.tn.gov,(615) 741-2180,R,District 48,TN,House
Dwayne,Thompson,rep.dwayne.thompson@capitol.tn.gov,(615) 741-1920,D,District 96,TN,House
Chris,Todd,rep.chris.todd@capitol.tn.gov,(615) 741-7475,R,District 73,TN,House
Joe,Towns,rep.joe.towns@capitol.tn.gov,(615) 741-2189,D,District 84,TN,House
Ron,Travis,rep.ron.travis@capitol.tn.gov,(615) 741-1450,R,District 31,TN,House
Kevin,Vaughan,rep.kevin.vaughan@capitol.tn.gov,(615) 741-1866,R,District 95,TN,House
Greg,Vital,rep.greg.vital@capitol.tn.gov,(615) 741-3025,R,District 29,TN,House
Todd,Warner,rep.todd.warner@capitol.tn.gov,(615) 741-4170,R,District 92,TN,House
Terri Lynn,Weaver,rep.terri.lynn.weaver@capitol.tn.gov,(615) 741-2192,R,District 40,TN,House
Mark,White,rep.mark.white@capitol.tn.gov,(615) 741-4415,R,District 83,TN,House
Sam,Whitson,rep.sam.whitson@capitol.tn.gov,(615) 741-1864,R,District 65,TN,House
Ryan,Williams,rep.ryan.williams@capitol.tn.gov,(615) 741-1875,R,District 42,TN,House
John Mark,Windle,rep.john.windle@capitol.tn.gov,(615) 741-1260,I,District 41,TN,House
Dave,Wright,rep.dave.wright@capitol.tn.gov,(615) 741-6879,R,District 19,TN,House
Jason,Zachary,rep.jason.zachary@capitol.tn.gov,(615) 741-2264,R,District 14,TN,House
,,,,,,,
Raumesh,Akbari,Sen.Raumesh.Akbari@capitol.tn.gov,(615) 741-1767,D,District 29,TN,Senate
Paul,Bailey,sen.paul.bailey@capitol.tn.gov,(615) 741-3978,R,District 15,TN,Senate
Janice,Bowling,sen.janice.bowling@capitol.tn.gov,(615) 741-6694,R,District 16,TN,Senate
Richard,Briggs,sen.richard.briggs@capitol.tn.gov,(615) 741-1766,R,District 7,TN,Senate
Heidi,Campbell,sen.heidi.campbell@capitol.tn.gov,(615) 741-6679,D,District 20,TN,Senate
David,Crews,sen.david.crews@capitol.tn.gov,(615) 741-1946,,District 9,TN,Senate
Rusty,Crowe,sen.rusty.crowe@capitol.tn.gov,(615) 741-2468,R,District 3,TN,Senate
Todd,Gardenhire,sen.todd.gardenhire@capitol.tn.gov,(615) 741-6682,R,District 10,TN,Senate
Brenda,Gilmore,Sen.Brenda.Gilmore@capitol.tn.gov,(615) 741-2453,D,District 19,TN,Senate
Ferrell,Haile,sen.ferrell.haile@capitol.tn.gov,(615) 741-1999,R,District 18,TN,Senate
Joey,Hensley,sen.joey.hensley@capitol.tn.gov,(615) 741-3100,R,District 28,TN,Senate
Ed,Jackson,sen.ed.jackson@capitol.tn.gov,(615) 741-1810,R,District 27,TN,Senate
Jack,Johnson,sen.jack.johnson@capitol.tn.gov,(615) 741-2495,R,District 23,TN,Senate
Brian,Kelsey,sen.brian.kelsey@capitol.tn.gov,(615) 741-3036,R,District 31,TN,Senate
Sara,Kyle,sen.sara.kyle@capitol.tn.gov,(615) 741-4167,D,District 30,TN,Senate
London,Lamar,Sen.london.lamar@capitol.tn.gov,(615) 741-2509,D,District 33,TN,Senate
Jon,Lundberg,Sen.Jon.Lundberg@Capitol.tn.gov,(615) 741-5761,R,District 4,TN,Senate
Becky Duncan,Massey,sen.becky.massey@capitol.tn.gov,(615) 741-1648,R,District 6,TN,Senate
Lt. Gov. Randy,McNally,lt.gov.randy.mcnally@capitol.tn.gov,(615) 741-6806,R,District 5,TN,Senate
Frank S.,Niceley,sen.frank.niceley@capitol.tn.gov,(615) 741-2061,R,District 8,TN,Senate
Mark,Pody,sen.mark.pody@capitol.tn.gov,(615) 741-2421,R,District 17,TN,Senate
Bill,Powers,sen.bill.powers@capitol.tn.gov,(615) 741-2374,R,District 22,TN,Senate
Shane,Reeves,sen.shane.reeves@capitol.tn.gov,(615) 741-1066,R,District 14,TN,Senate
Kerry,Roberts,sen.kerry.roberts@capitol.tn.gov,(615) 741-4499,R,District 25,TN,Senate
Paul,Rose,sen.paul.rose@capitol.tn.gov,(615) 741-1967,R,District 32,TN,Senate
Steve,Southerland,sen.steve.southerland@capitol.tn.gov,(615) 741-3851,R,District 1,TN,Senate
John,Stevens,sen.john.stevens@capitol.tn.gov,(615) 741-4576,R,District 24,TN,Senate
Art,Swann,sen.art.swann@capitol.tn.gov,(615) 741-0981,R,District 2,TN,Senate
Page,Walley,sen.page.walley@capitol.tn.gov,(615) 741-2368,R,District 26,TN,Senate
Bo,Watson,sen.bo.watson@capitol.tn.gov,(615) 741-3227,R,District 11,TN,Senate
Dawn,White,Sen.Dawn.White@capitol.tn.gov,(615) 741-6853,R,District 13,TN,Senate
Ken,Yager,sen.ken.yager@capitol.tn.gov,(615) 741-1449,R,District 12,TN,Senate
Jeff,Yarbro,sen.jeff.yarbro@capitol.tn.gov,(615) 741-3291,D,District 21,TN,Senate
